10,0
60,0
110,0
160,0
210,0
260,0
310,1
360,1
410,1
460,1
510,2
560,2
610,2
660,2
710,3
760,3
810,3
860,3
910,4
960,4
1010,5
1060,5
1110,5
1160,5
1210,6
1260,6
1310,6
1360,7
1410,7
1460,7
1510,8
1560,8
1610,9
1660,9
1710,9
1760,10
1810,10
1860,11
1910,11
1960,12
2010,12
2060,12
2110,13
2160,14
2210,14
2260,15
2310,15
2360,15
2410,16
2460,17
2510,17
2560,17
2610,18
2660,18
2710,19
2760,19
2810,20
2860,19
2910,20
2960,21
3010,21
3060,22
3110,22
3160,23
3210,23
3260,24
3310,24
3360,25
3410,25
3460,26
3510,27
3560,27
3610,28
3660,28
3710,29
3760,30
3810,30
3860,31
3910,31
3960,32
4010,32
4060,33
4110,33
4160,33
4210,34
4260,35
4310,35
4360,36
4410,41
4460,37
4510,38
4560,40
4610,39
4660,40
4710,40
4760,41
4810,43
4860,42
4910,42
4960,44
5010,42
