10,0
60,0
110,0
160,0
210,0
260,1
310,1
360,1
410,2
460,2
510,3
560,4
610,4
660,5
710,6
760,7
810,9
860,10
910,11
960,12
1010,13
1060,14
1110,17
1160,18
1210,19
1260,22
1310,23
1360,23
1410,25
1460,27
1510,31
1560,33
1610,36
1660,38
1710,40
1760,43
1810,47
1860,52
1910,49
1960,50
2010,62
2060,54
2110,58
2160,60
2210,63
2260,66
2310,69
2360,72
2410,76
2460,87
2510,80
2560,83
2610,85
2660,87
2710,93
2760,95
2810,99
2860,103
2910,106
2960,110
3010,115
3060,114
3110,118
3160,128
3210,128
3260,161
3310,137
3360,138
3410,144
3460,146
3510,161
3560,164
3610,162
3660,176
3710,177
3760,179
3810,183
3860,183
3910,184
3960,190
4010,201
4060,207
4110,208
4160,212
4210,217
4260,221
4310,229
4360,229
4410,250
4460,241
4510,249
4560,272
4610,269
4660,272
4710,273
4760,285
4810,287
4860,346
4910,285
4960,294
5010,390
