10,1
60,1
110,3
160,3
210,3
260,3
310,3
360,3
410,4
460,5
510,5
560,5
610,5
660,5
710,6
760,9
810,9
860,10
910,10
960,11
1010,11
1060,12
1110,12
1160,13
1210,13
1260,13
1310,14
1360,14
1410,15
1460,19
1510,24
1560,25
1610,26
1660,27
1710,28
1760,30
1810,31
1860,32
1910,33
1960,34
2010,36
2060,36
2110,38
2160,39
2210,40
2260,41
2310,42
2360,43
2410,43
2460,45
2510,45
2560,46
2610,47
2660,48
2710,49
2760,50
2810,51
2860,52
2910,60
2960,72
3010,77
3060,80
3110,82
3160,84
3210,86
3260,88
3310,90
3360,92
3410,94
3460,96
3510,98
3560,100
3610,103
3660,105
3710,107
3760,109
3810,111
3860,113
3910,116
3960,118
4010,121
4060,123
4110,125
4160,127
4210,130
4260,132
4310,134
4360,137
4410,140
4460,142
4510,145
4560,146
4610,149
4660,151
4710,154
4760,157
4810,160
4860,162
4910,164
4960,167
5010,169
